0.28	1.659	2.02E-04
0.29	1.659	2.02E-04
0.3	1.659	2.02E-04
0.301	1.659	1.95E-04
0.302	1.652	1.89E-04
0.303	1.648	1.83E-04
0.304	1.645	1.78E-04
0.305	1.641	1.72E-04
0.306	1.638	1.67E-04
0.307	1.635	1.61E-04
0.308	1.632	1.56E-04
0.309	1.629	1.51E-04
0.31	1.626	1.47E-04
0.311	1.623	1.42E-04
0.312	1.62	1.38E-04
0.313	1.618	1.33E-04
0.314	1.615	1.29E-04
0.315	1.613	1.25E-04
0.316	1.611	1.21E-04
0.317	1.609	1.17E-04
0.318	1.606	1.14E-04
0.319	1.604	1.10E-04
0.32	1.603	1.07E-04
0.321	1.601	1.04E-04
0.322	1.599	1.00E-04
0.323	1.597	9.74E-05
0.324	1.596	9.45E-05
0.325	1.594	9.17E-05
0.326	1.593	8.91E-05
0.327	1.592	8.66E-05
0.328	1.591	8.42E-05
0.329	1.589	8.19E-05
0.33	1.588	7.97E-05
0.331	1.588	8.03E-05
0.332	1.589	8.07E-05
0.333	1.589	8.10E-05
0.334	1.589	8.10E-05
0.335	1.589	8.07E-05
0.336	1.589	8.01E-05
0.337	1.589	7.94E-05
0.338	1.589	7.85E-05
0.339	1.589	7.76E-05
0.34	1.589	7.68E-05
0.341	1.589	7.59E-05
0.342	1.589	7.48E-05
0.343	1.589	7.38E-05
0.344	1.589	7.27E-05
0.345	1.588	7.14E-05
0.346	1.588	6.99E-05
0.347	1.588	6.84E-05
0.348	1.587	6.69E-05
0.349	1.587	6.54E-05
0.35	1.586	6.40E-05
0.351	1.586	6.28E-05
0.352	1.586	6.16E-05
0.353	1.586	6.03E-05
0.354	1.585	5.92E-05
0.355	1.585	5.79E-05
0.356	1.585	5.67E-05
0.357	1.585	5.54E-05
0.358	1.585	5.42E-05
0.359	1.585	5.28E-05
0.36	1.585	5.15E-05
0.361	1.584	5.02E-05
0.362	1.584	4.89E-05
0.363	1.583	4.75E-05
0.364	1.582	4.61E-05
0.365	1.582	4.49E-05
0.366	1.582	4.37E-05
0.367	1.581	4.27E-05
0.368	1.581	4.17E-05
0.369	1.58	4.08E-05
0.37	1.579	4.00E-05
0.371	1.579	3.93E-05
0.372	1.578	3.85E-05
0.373	1.578	3.76E-05
0.374	1.578	3.67E-05
0.375	1.578	3.58E-05
0.376	1.577	3.49E-05
0.377	1.577	3.40E-05
0.378	1.576	3.32E-05
0.379	1.576	3.26E-05
0.38	1.576	3.20E-05
0.381	1.575	3.13E-05
0.382	1.575	3.06E-05
0.383	1.575	3.00E-05
0.384	1.574	2.95E-05
0.385	1.574	2.90E-05
0.386	1.573	2.85E-05
0.387	1.573	2.81E-05
0.388	1.572	2.76E-05
0.389	1.572	2.71E-05
0.39	1.571	2.64E-05
0.391	1.571	2.56E-05
0.392	1.571	2.48E-05
0.393	1.57	2.41E-05
0.394	1.569	2.34E-05
0.395	1.569	2.29E-05
0.396	1.568	2.24E-05
0.397	1.568	2.20E-05
0.398	1.567	2.15E-05
0.399	1.566	2.10E-05
0.4	1.566	2.05E-05
0.401	1.565	2.00E-05
0.402	1.565	1.95E-05
0.403	1.564	1.90E-05
0.404	1.564	1.84E-05
0.405	1.563	1.80E-05
0.406	1.562	1.75E-05
0.407	1.562	1.71E-05
0.408	1.562	1.67E-05
0.409	1.561	1.63E-05
0.41	1.561	1.60E-05
0.411	1.56	1.57E-05
0.412	1.56	1.54E-05
0.413	1.559	1.52E-05
0.414	1.559	1.50E-05
0.415	1.559	1.48E-05
0.416	1.558	1.45E-05
0.417	1.558	1.42E-05
0.418	1.558	1.39E-05
0.419	1.557	1.37E-05
0.42	1.557	1.35E-05
0.421	1.556	1.33E-05
0.422	1.556	1.32E-05
0.423	1.556	1.30E-05
0.424	1.555	1.29E-05
0.425	1.555	1.27E-05
0.426	1.555	1.26E-05
0.427	1.554	1.25E-05
0.428	1.554	1.23E-05
0.429	1.554	1.21E-05
0.43	1.554	1.20E-05
0.431	1.554	1.19E-05
0.432	1.553	1.18E-05
0.433	1.553	1.17E-05
0.434	1.553	1.17E-05
0.435	1.553	1.16E-05
0.436	1.553	1.16E-05
0.437	1.553	1.16E-05
0.438	1.552	1.15E-05
0.439	1.552	1.14E-05
0.44	1.552	1.12E-05
0.441	1.552	1.12E-05
0.442	1.552	1.11E-05
0.443	1.552	1.10E-05
0.444	1.551	1.10E-05
0.445	1.551	1.10E-05
0.446	1.551	1.09E-05
0.447	1.551	1.09E-05
0.448	1.551	1.08E-05
0.449	1.551	1.07E-05
0.45	1.551	1.05E-05
0.451	1.55	1.04E-05
0.452	1.55	1.03E-05
0.453	1.55	1.03E-05
0.454	1.55	1.04E-05
0.455	1.55	1.04E-05
0.456	1.55	1.04E-05
0.457	1.55	1.04E-05
0.458	1.549	1.03E-05
0.459	1.549	1.03E-05
0.46	1.549	1.02E-05
0.461	1.549	1.02E-05
0.462	1.549	1.01E-05
0.463	1.548	1.00E-05
0.464	1.548	9.99E-06
0.465	1.548	9.94E-06
0.466	1.548	9.88E-06
0.467	1.547	9.84E-06
0.468	1.547	9.83E-06
0.469	1.547	9.80E-06
0.47	1.547	9.77E-06
0.471	1.546	9.70E-06
0.472	1.546	9.65E-06
0.473	1.546	9.61E-06
0.474	1.545	9.58E-06
0.475	1.545	9.61E-06
0.476	1.545	9.68E-06
0.477	1.545	9.73E-06
0.478	1.544	9.74E-06
0.479	1.544	9.73E-06
0.48	1.544	9.71E-06
0.481	1.543	9.66E-06
0.482	1.543	9.61E-06
0.483	1.543	9.58E-06
